Math_Score,Reading_Score,Writing_Score,Placement_Score,Placement_Offer_Count
66,89,66,100,1
76,77,68,97,0
156,88,67,99,2
70,91,71,81,3
66,78,61,75,0
80,92,60,75,0
66,82,75,99,1
66,78,64,99,1
66,76,62,94,2
76,80,71,87,3
66,84,67,83,1
76,78,62,77,0
66,92,60,81,3
66,86,62,80,3
66,76,64,82,0
76,84,74,83,1
66,78,73,79,0
80,88,62,75,3
66,90,60,93,4
66,89,64,84,4
160,82,73,86,2
66,88,66,98,0
75,82,68,89,0
66,95,74,96,2
66,90,74,98,2
73,87,69,83,2
66,92,72,94,3
66,89,78,91,0
66,95,66,91,3
66,87,76,100,2
76,83,79,94,0
66,89,63,86,3
66,87,64,81,3
66,75,66,,2
66,81,72,,0
66,83,,91,2
76,150,70,79,0
66,86,,91,4
66,140,72,98,1
66,85,,91,1
76,,40,91,1
66,91,61,76,2
66,82,69,150,4
66,77,72,96,0
76,77,80,97,3
66,,65,140,0
66,79,71,75,3
66,84,71,75,0
76,81,100,93,4
66,,70,160,3
